<before>	287 223 349 317 178 170 401 185 283 255 323 242 381 302 354 94 204 397 93 413 3 281 37 95 58 395 47 361 103 393 42 358 342 327 237 415 216 31 427 319 1 365 152 200 89 45 188 68 142 312 143 225 44 62 367 338 201 261 260 414 266 438 114 340 84 228 134 171 215 41 391 325 210 396 169 245 18 10 273 87 4 50 398 339 337 440 428 241 236 57 406 309 72 8 144 64 353 138 181 46 195 336 126 290 67 356 146 157 135 231 362 407 403 70 264 366 98 19 123 270 121 374 297 233 392 219 196 435 69 385 90 5 268 179 372 111 163 421 137 295 150 132 15 211 154 43 49 249 217 20 310 116 56 140 422 232 59 269 109 285 375 364 16 148 298 74 274 296 26 187 333 318 250 102 158 81 227 262 112 286 85 105 115 6 256 38 164 78 436 190 437 341 35 314 76 313 328 177 373 25 191 400 359 382 331 213 351 33 234 88 202 77 13 322 244 128 292 40 36 147 136 120 412 106 370 63 51 402 117 303 11 214 418 24 243 159 124 21 277 79 330 332 66 410 97 263 176 307 226 149 352 350 254 86 441 28 386 304 377 300 209 432 334 30 378 80 279 139 420 326 246 308 92 424 434 145 113 60 384 39 104 276 238 218 320 311 417 207 162 430 284 160 289 9 183 360 275 52 383 99 442 167 55 129 443 278 425 14 203 394 357 371 73 379 130 229 222 32 423 306 141 343 235 257 61 23 252 409 247 127 248 315 388 180 419 110 416 34 186 387 100 346 251 82 205 12 155 75 165 54 221 316 369 305 7 125 220 189 408 347 194 53 27 212 122 291 184 293 344 329 405 288 101 173 411 83 431 280 166 368 380 399 17 253 390 91 175 258 108 96 389 259 208 156 199 404 282 197 151 131 376 426 161 182 439 22 206 118 294 29 172 119 198 48 239 224 230 433 299 240 265 71 321 301 174 348 193 133 271 65 324 2 192 363 272 335 267 345 168 153 107 355 429 
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6900
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6899
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6898
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6897
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6896
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6895
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6894
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6893
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6892
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6891
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6890
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6889
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6888
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6887
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6886
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6885
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6884
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6883
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6882
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6881
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6880
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6879
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6878
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6877
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6876
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6875
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6874
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6873
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6872
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6871
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6870
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6869
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6868
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6867
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6866
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6865
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6864
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6863
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6862
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6861
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6860
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6859
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6858
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6857
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6856
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6855
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6854
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6853
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6852
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6851
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6850
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6849
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6848
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6847
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6846
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6845
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6844
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6843
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6842
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6841
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6840
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6839
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6838
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6837
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6836
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6835
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6834
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6833
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6832
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6831
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6830
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6829
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6828
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6827
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6826
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6825
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6824
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6823
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6822
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6821
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6820
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6819
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6818
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6817
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6816
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6815
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6814
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6813
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6812
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6811
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6810
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6809
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6808
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6807
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6806
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6805
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6804
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6803
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6802
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6801
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6800
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6799
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6798
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6797
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6796
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6795
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6794
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6793
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6792
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6791
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6790
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6789
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6788
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6787
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6786
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6785
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6784
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6783
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6782
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6781
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6780
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6779
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6778
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6777
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6776
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6775
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6774
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6773
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6772
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6771
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6770
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6769
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6768
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6767
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6766
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6765
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6764
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6763
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6762
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6761
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6760
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6759
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6758
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6757
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6756
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6755
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6754
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6753
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6752
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6751
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6750
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6749
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6748
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6747
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6746
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6745
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6744
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6743
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6742
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6741
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6740
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6739
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6738
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6737
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6736
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6735
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6734
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6733
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6732
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6731
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6730
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6729
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6728
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6727
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6726
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6725
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6724
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6723
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6722
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6721
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6720
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6719
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6718
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6717
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6716
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6715
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6714
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6713
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6712
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6711
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6710
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6709
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6708
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6707
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6706
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6705
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6704
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6703
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6702
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6701
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6700
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6699
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6698
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6697
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6696
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6695
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6694
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6693
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6692
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6691
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6690
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6689
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6688
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6687
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6686
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6685
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6684
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6683
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6682
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6681
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6680
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6679
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6678
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6677
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6676
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6675
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6674
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6673
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6672
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6671
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6670
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6669
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6668
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6667
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6666
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6665
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6664
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6663
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6662
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6661
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6660
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6659
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6658
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6657
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6656
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6655
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6654
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6653
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6652
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6651
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6650
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6649
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6648
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6647
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6646
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6645
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6644
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6643
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6642
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6641
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6640
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6639
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6638
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6637
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6636
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6635
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6634
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6633
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6632
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6631
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6630
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6629
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6628
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6627
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6626
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6625
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6624
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6623
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6622
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6621
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6620
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6619
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6618
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6617
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6616
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6615
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6614
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6613
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6612
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6611
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6610
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6609
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6608
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6607
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6606
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6605
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6604
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6603
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6602
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6601
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6600
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6599
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6598
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6597
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6596
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6595
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6594
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6593
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6592
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6591
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6590
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6589
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6588
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6587
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6586
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6585
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6584
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6583
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6582
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6581
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6580
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6579
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6578
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6577
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6576
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6575
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6574
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6573
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6572
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6571
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6570
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6569
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6568
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6567
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6566
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6565
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6564
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6563
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6562
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6561
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6560
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6559
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6558
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6557
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6556
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6555
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6554
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6553
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6552
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6551
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6550
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6549
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6548
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6547
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6546
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6545
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6544
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6543
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6542
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6541
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6540
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6539
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6538
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6537
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6536
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6535
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6534
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6533
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6532
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6531
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6530
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6529
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6528
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	6527
debug:After 2opt Total Distance:	5687
